pkt_size,ip_len,ttl,ip_proto,frag_offset,is_fragment,src_port,dst_port,udp_len,gtp_teid,gtp_type,gtp_seq,payload_len,payload_entropy,has_gtp,pkt_rate,byte_rate,inter_arrival,label
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.16535210609436035,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.0034220218658447266,0
883,869,64,17,0,0,2152,2152,849,0,0,0,773,5.579123983581349,0,0,0,0.008673906326293945,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0014591217041015625,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0011949539184570312,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.045722007751464844,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.001302957534790039,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.9399309158325195,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.0033731460571289062,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.023854970932006836,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.34995102882385254,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0017268657684326172,0
183,169,64,17,0,0,2152,2152,149,0,0,0,73,4.712448237894204,0,0,0,0.0,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.048887014389038086,0
883,869,64,17,0,0,2152,2152,849,0,0,0,773,5.5796321195855425,0,0,0,0.43507814407348633,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.002629995346069336,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.048848867416381836,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0012121200561523438,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.08610391616821289,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.002980947494506836,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.874096155166626,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.042289018630981445,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0017189979553222656,0
183,169,64,17,0,0,2152,2152,149,0,0,0,73,4.712448237894204,0,0,0,0.0002779960632324219,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.04457688331604004,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.03605389595031738,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.004653215408325195,0
883,869,64,17,0,0,2152,2152,849,0,0,0,773,5.554802801040105,0,0,0,0.13806986808776855,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.002134084701538086,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.04634594917297363,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0014400482177734375,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.8090610504150391,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.003000974655151367,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.15483784675598145,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.04464006423950195,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0013151168823242188,0
183,169,64,17,0,0,2152,2152,149,0,0,0,73,4.712448237894204,0,0,0,0.0,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0530087947845459,0
883,869,64,17,0,0,2152,2152,849,0,0,0,773,5.570784716239219,0,0,0,0.18033909797668457,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0018880367279052734,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.05017685890197754,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0012781620025634766,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.5091278553009033,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0013270378112792969,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.00026297569274902344,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.0035941600799560547,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.448091983795166,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.04610800743103027,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0014729499816894531,0
183,169,64,17,0,0,2152,2152,149,0,0,0,73,4.712448237894204,0,0,0,0.00011086463928222656,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.041416168212890625,0
883,869,64,17,0,0,2152,2152,849,0,0,0,773,5.5693418539192425,0,0,0,0.19132184982299805,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0016880035400390625,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0011780261993408203,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.25280213356018066,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.014698028564453125,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.004563808441162109,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.017948150634765625,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0013480186462402344,0
122,108,64,17,0,0,2152,2152,88,0,0,0,0,0.0,0,0,0,0.00026488304138183594,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.7218871116638184,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.04418683052062988,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0016880035400390625,0
183,169,64,17,0,0,2152,2152,149,0,0,0,73,4.712448237894204,0,0,0,0.0002620220184326172,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.05135917663574219,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.15848088264465332,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.0052030086517333984,0
883,869,64,17,0,0,2152,2152,849,0,0,0,773,5.587351887616187,0,0,0,0.019906997680664062,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0022170543670654297,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.25258493423461914,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.04953193664550781,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.001766204833984375,0
122,108,64,17,0,0,2152,2152,88,0,0,0,0,0.0,0,0,0,0.003332853317260742,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.667259931564331,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.0045011043548583984,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.03548407554626465,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.3506598472595215,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0022411346435546875,0
183,169,64,17,0,0,2152,2152,149,0,0,0,73,4.712448237894204,0,0,0,0.0,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.040326833724975586,0
883,869,64,17,0,0,2152,2152,849,0,0,0,773,5.558033465181147,0,0,0,0.18530821800231934,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.002644777297973633,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.00037407875061035156,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.048258066177368164,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0016739368438720703,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.32967090606689453,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.03244519233703613,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.6014728546142578,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.05421018600463867,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0018508434295654297,0
183,169,64,17,0,0,2152,2152,149,0,0,0,73,4.712448237894204,0,0,0,0.0,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.05855607986450195,0
883,869,64,17,0,0,2152,2152,849,0,0,0,773,5.57747894960329,0,0,0,0.20073699951171875,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.002042055130004883,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.049983978271484375,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0273439884185791,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0014150142669677734,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.010496854782104492,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.9257571697235107,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.036418914794921875,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.002811908721923828,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.006186962127685547,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0014560222625732422,0
183,169,64,17,0,0,2152,2152,149,0,0,0,73,4.712448237894204,0,0,0,0.0,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.04849410057067871,0
883,869,64,17,0,0,2152,2152,849,0,0,0,773,5.570886891809993,0,0,0,0.17993807792663574,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0018978118896484375,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0003001689910888672,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.24895596504211426,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0753488540649414,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0014271736145019531,0
122,108,64,17,0,0,2152,2152,88,0,0,0,0,0.0,0,0,0,0.00028395652770996094,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.43518590927124023,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.03637099266052246,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.21649909019470215,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.07895088195800781,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0016050338745117188,0
183,169,64,17,0,0,2152,2152,149,0,0,0,73,4.712448237894204,0,0,0,0.0,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.06918716430664062,0
883,869,64,17,0,0,2152,2152,849,0,0,0,773,5.552193498829682,0,0,0,0.45244383811950684,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0014450550079345703,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0007369518280029297,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.05252695083618164,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0015070438385009766,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.09008598327636719,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.020050048828125,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.8495161533355713,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.0470278263092041,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.00144195556640625,0
183,169,64,17,0,0,2152,2152,149,0,0,0,73,4.712448237894204,0,0,0,0.0,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.043932199478149414,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.0393519401550293,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.0070209503173828125,0
883,869,64,17,0,0,2152,2152,849,0,0,0,773,5.551361788178351,0,0,0,0.3839240074157715,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0021970272064208984,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.00037288665771484375,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.04537200927734375,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0014619827270507812,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.5610752105712891,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.02642989158630371,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.379457950592041,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.5951230525970459,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.003927946090698242,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.4307270050048828,0
